Map,NumVertices,Regions,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,AuxSpaceMB,MeshSpaceMB,TotalSpaceMB,Cost/ViaLabels
hrt201d,2571,6596,1334,0.40154554,0.69663293,2.54581417,3.64399264,114.19135235,10.34498620,101.57037718,921395,4.80401230,14.93808270,0.02516174,0.55450630,20.32176304,1.00000000
hrt201n,2607,6746,1368,0.39732231,0.92586777,2.28479339,3.60798347,78.29586777,10.14876033,70.35619835,750169,4.25769424,12.16208744,0.02573395,0.56511021,17.01062584,1.00000000
isound1,20,45,11,0.09745455,0.19363636,0.08109091,0.37218182,2.45909091,0.81363636,0.00000000,237,0.00338745,0.00384235,0.00017166,0.00225639,0.00965786,1.00000000
lak100c,3725,10589,2122,0.43012795,0.81526575,3.95485236,5.20024606,242.28444882,18.18750000,186.45521654,3579945,12.62901306,58.03972721,0.04039383,0.90545654,71.61459064,1.00000000
lak100d,4572,12822,2571,0.52815737,0.91443227,5.82810757,7.27069721,375.17679283,21.24501992,277.21663347,4369749,15.09003067,70.84439564,0.04891205,1.12551308,87.10885143,1.00000000
lak100n,3875,11029,2210,0.42152259,0.75161100,3.03891945,4.21205305,135.13457760,15.58644401,143.51964637,3550196,12.93215942,57.55742264,0.04207230,0.95094681,71.48260117,1.00000000
lak101d,52,125,25,0.22500000,0.27225000,0.29975000,0.79700000,10.02500000,2.27500000,4.10000000,2271,0.02398682,0.03681850,0.00047684,0.00783730,0.06911945,1.00000000
lak102d,90,203,42,0.16615385,0.24230769,0.79676923,1.20523077,32.10000000,5.07692308,26.86923077,6058,0.05150604,0.09821510,0.00077438,0.01270199,0.16319752,1.00000000
lak103d,136,327,67,0.20560811,0.29209459,0.46405405,0.96175676,10.70270270,1.95945946,8.45945946,11479,0.08650970,0.18610287,0.00124741,0.02149677,0.29535675,1.00000000
lak104d,100,255,52,0.13923077,0.29030769,0.99476923,1.42430769,30.50769231,6.06153846,15.21538462,8815,0.07158661,0.14291286,0.00097275,0.01705265,0.23252487,1.00000000
lak105d,91,212,43,0.14900000,0.25700000,0.62100000,1.02700000,19.21000000,3.24000000,1.90000000,8735,0.06740952,0.14161587,0.00080872,0.01403999,0.22387409,1.00000000
lak106d,215,550,111,0.22640000,0.32400000,1.18352000,1.73392000,57.30000000,9.10800000,47.05200000,43741,0.27653885,0.70914936,0.00209808,0.03822041,1.02600670,1.00000000
lak107d,56,138,28,0.13018182,0.24509091,0.33145455,0.70672727,14.09090909,2.56363636,4.85454545,2583,0.02502823,0.04187679,0.00052643,0.00844288,0.07587433,1.00000000
lak108d,72,161,33,0.20822222,0.34533333,0.39377778,0.94733333,8.43333333,2.21111111,6.94444444,3999,0.03765869,0.06483364,0.00061417,0.00990772,0.11301422,1.00000000
lak109d,96,284,58,0.33738462,0.33523077,0.74323077,1.41584615,26.57692308,5.97692308,9.45384615,7545,0.06335068,0.12232304,0.00108337,0.01768875,0.20444584,1.00000000
lak110d,36,79,16,0.17800000,0.21114286,0.11600000,0.50514286,2.50000000,0.41428571,2.27142857,1003,0.01107025,0.01626110,0.00030136,0.00407887,0.03171158,1.00000000
lak200d,786,2152,436,0.36088525,0.43163934,2.13927869,2.93180328,112.37540984,13.94918033,54.36065574,220202,1.27682114,3.57001686,0.00820923,0.16787148,5.02291870,1.00000000
lak201d,1277,3275,663,0.36785542,0.48474699,1.65400000,2.50660241,72.65301205,9.48192771,40.13614458,251265,1.62848663,4.07362461,0.01249313,0.26085854,5.97546291,1.00000000
lak202d,629,1608,325,0.29925714,0.43122857,1.39600000,2.12648571,69.89571429,8.71571429,14.32857143,102136,0.70296860,1.65587616,0.00613403,0.12377930,2.48875809,1.00000000
lak203d,447,1002,201,0.32076471,0.38941176,1.09070588,1.80088235,32.92352941,5.75588235,27.47352941,60211,0.43481827,0.97616863,0.00382233,0.07308197,1.48789120,1.00000000
lak250d,1101,3049,611,0.37534050,0.46867384,2.38007168,3.22408602,133.96415771,15.75627240,73.47311828,271965,1.60803223,4.40922260,0.01163101,0.24294567,6.27183151,1.00000000
lak300d,589,1666,336,0.50715573,0.47500644,5.42203346,6.40419562,351.98326898,32.07722008,467.44015444,511154,2.10469437,8.28706551,0.00635529,0.13451958,10.53263474,1.00000000
lak302d,1176,2831,573,0.32929605,0.49328833,1.32804243,2.15062681,46.54869817,8.08389585,23.83413693,210005,1.33441925,3.40469837,0.01079941,0.22875023,4.97866726,1.00000000
lak303d,2530,7027,1409,0.51120755,0.66454717,3.41200000,4.58775472,189.85283019,16.03867925,138.41981132,1732721,7.32250214,28.09167576,0.02680588,0.58717155,36.02815533,1.00000000
lak304d,3024,8203,1653,0.44915912,0.72946960,3.53314360,4.71177232,187.78137128,16.71798189,325.52910737,1847202,7.81761932,29.94769478,0.03129196,0.68998337,38.48658943,1.00000000
lak307d,288,790,158,0.34712963,0.47722222,1.72638889,2.55074074,86.98611111,10.13425926,128.67592593,159886,0.88484573,2.59214592,0.00301361,0.05712891,3.53713417,1.00000000
lak308d,1695,4703,944,0.40060744,0.53641610,2.66179195,3.59881549,139.35763098,17.04707669,75.06681853,663591,3.25656891,10.75844479,0.01794052,0.38588047,14.41883469,1.00000000
lak400d,3501,9857,1972,0.51198800,0.90643661,7.78078020,9.19920480,581.34658665,33.30082521,378.15078770,4304167,15.52352905,69.78114986,0.03760147,0.84686852,86.18914890,1.00000000
lak401d,3972,10207,2058,0.41532265,0.78767963,2.77543249,3.97843478,117.30938215,13.00274600,41.28146453,1837365,8.85660553,29.78821278,0.03893661,0.88555241,39.56930733,1.00000000
lak403d,1281,3685,738,0.65968606,0.74350877,10.52108957,11.92428440,856.37303786,42.73776547,1584.23268698,2946965,8.35800171,47.77756214,0.01405716,0.30677605,56.45639706,1.00000000
lak404d,1266,3260,654,0.61391049,0.53675715,2.41517241,3.56584006,98.83052091,14.19955979,54.90829054,423758,2.46699142,6.87016106,0.01243591,0.26823425,9.61782265,1.00000000
lak405d,5171,14510,2910,0.49505012,0.91982339,3.53167542,4.94654893,176.61813842,15.35704057,60.80453461,2979428,13.23402786,48.30386734,0.05535126,1.30442142,62.89766788,1.00000000
lak503d,2573,6948,1392,0.59430645,0.83438710,4.81530645,6.24400000,245.64032258,19.26290323,224.01451613,1688096,7.14814377,27.36819458,0.02650452,0.57557487,35.11841774,1.00000000
lak504d,2962,7856,1586,0.47469816,0.80813648,3.54498688,4.82782152,210.58267717,14.43963255,313.44356955,1637504,7.09611130,26.54797363,0.02996826,0.65083885,34.32489204,1.00000000
lak505d,2785,7655,1536,0.52894344,0.76160085,5.16971185,6.46025614,290.81643543,23.33617930,296.37673426,2186606,9.19553375,35.45026970,0.02920151,0.65023708,45.32524204,1.00000000
lak506d,2446,6609,1336,0.39647863,0.61018803,2.90302564,3.90969231,148.97094017,15.04444444,85.99145299,1116941,5.36709595,18.10836506,0.02521133,0.54871368,24.04938602,1.00000000
lak507d,300,785,157,0.32018182,0.37518182,0.94272727,1.63809091,40.87727273,6.26818182,111.70909091,87104,0.62841797,1.41217041,0.00299454,0.05329514,2.09687805,1.00000000
lak510d,434,1153,231,0.30731818,0.42422727,5.11259091,5.84413636,325.52500000,29.51590909,337.63863636,229161,1.20596313,3.71526432,0.00439835,0.08775902,5.01338482,1.00000000
lak511d,2480,6835,1381,0.48701652,0.64621963,3.34929057,4.48252672,152.40816327,19.54324587,86.51409135,1085917,5.51699066,17.60538960,0.02607346,0.57209873,23.72055244,1.00000000
lak512d,2003,5129,1036,0.46248120,0.63806391,2.64057331,3.74111842,131.86607143,14.44877820,43.08740602,748355,3.82817078,12.13267803,0.01956558,0.42798901,16.40840340,1.00000000
lak513d,3982,10919,2193,0.55816168,0.87475083,5.03211517,6.46502769,246.21262458,23.87486157,463.58028793,2364300,11.07030487,38.33112717,0.04165268,0.94138718,50.38447189,1.00000000
lak514d,2121,5952,1191,0.43684729,0.60985222,2.56625616,3.61295567,139.99753695,15.87192118,68.57142857,518403,3.35998154,8.40458965,0.02270508,0.47238255,12.25965881,1.00000000
lak515d,200,545,109,0.62473684,0.38442105,0.58800000,1.59715789,27.10526316,2.88421053,66.34736842,106349,0.48861694,1.72417927,0.00207901,0.03873348,2.25360870,1.00000000
lak519d,1187,3356,687,0.52638554,0.59112450,7.08048193,8.19799197,470.48192771,38.59437751,840.63855422,1144616,4.45321274,18.55704498,0.01280212,0.26809025,23.29115009,1.00000000
lak526d,212,600,120,0.28000000,0.30272727,1.14781818,1.73054545,56.34090909,9.40000000,25.06363636,32836,0.21903610,0.53235245,0.00228882,0.04036522,0.79404259,1.00000000
lgt101d,128,346,71,0.22369231,0.26784615,0.84092308,1.33246154,51.67692308,4.70000000,32.94615385,18433,0.12594986,0.29884434,0.00131989,0.02272797,0.44884205,1.00000000
lgt300d,2549,7183,1439,0.92175069,1.24557341,23.17454848,25.34187258,1778.69750693,83.65096953,1599.38005540,6420591,18.93575287,104.09359646,0.02740097,0.63345337,123.69020367,1.00000000
lgt600d,1110,3275,655,0.56374364,0.64472024,4.51471007,5.72317396,312.70803662,17.67446592,344.24923703,1965637,5.39731598,31.86781788,0.01249313,0.26165962,37.53928661,1.00000000
lgt601d,1478,4266,856,0.69244444,0.78760494,11.32451852,12.80456790,909.69259259,56.33333333,1814.09876543,2699057,8.55078506,43.75836277,0.01627350,0.35284805,52.67826939,1.00000000
lgt602d,2548,7303,1476,0.52222222,0.85715152,4.82854545,6.20791919,290.03030303,24.11010101,383.16969697,2185188,8.51258087,35.42728043,0.02785873,0.59613895,44.56385899,1.00000000
lgt603d,2177,6189,1247,0.44106183,0.61849462,3.40189516,4.46145161,193.74395161,19.77016129,121.85618280,1318751,5.82034302,21.38020229,0.02360916,0.50545692,27.72961140,1.00000000
lgt604d,1024,3014,603,0.52102793,0.52849162,3.91924022,4.96875978,259.17318436,21.80000000,569.31508380,1180219,3.55607986,19.13425732,0.01149750,0.23270130,22.93453598,1.00000000
lgt605d,230,680,136,0.45792593,0.38785185,1.68696296,2.53274074,87.72962963,12.34814815,131.02222222,88745,0.47263718,1.43877506,0.00259399,0.04529858,1.95930481,1.00000000
orz000d,252,555,111,0.19582011,0.34613757,1.94158730,2.48354497,86.12433862,15.02910053,56.89153439,43100,0.28730011,0.69875717,0.00211716,0.03908253,1.02725697,1.00000000
orz100d,6719,18827,3778,0.70475403,1.09607276,9.48194295,11.28276974,575.84001654,43.93303018,761.89417115,9415623,32.83379364,152.65044308,0.07181931,1.71156979,187.26762581,1.00000000
orz101d,200,518,105,0.26704348,0.30026087,1.17234783,1.73965217,46.53478261,8.62173913,31.75652174,27333,0.19595718,0.44313526,0.00197601,0.03511047,0.67617893,1.00000000
orz102d,84,188,38,0.28938462,0.26846154,0.62076923,1.17861538,17.61538462,3.81538462,17.17692308,6170,0.05309677,0.10003090,0.00071716,0.01207638,0.16592121,1.00000000
orz103d,4913,13273,2670,0.44953932,0.83024179,2.14655129,3.42633240,67.97607534,10.46882158,35.99058285,1559438,8.62821960,25.28233147,0.05063248,1.17706013,35.13824368,1.00000000
orz105d,110,280,56,0.20706667,0.28333333,0.64693333,1.13733333,18.00000000,3.70666667,11.75333333,10120,0.08721542,0.16407013,0.00106812,0.01846027,0.27081394,1.00000000
orz106d,60,138,28,0.31375000,0.25750000,0.53900000,1.11025000,23.78750000,4.28750000,11.81250000,4920,0.03877640,0.07976532,0.00052643,0.00874901,0.12781715,1.00000000
orz107d,82,196,40,0.23050000,0.26150000,0.17650000,0.66850000,4.48333333,0.91666667,7.90000000,4418,0.04368210,0.07162666,0.00074768,0.01228428,0.12834072,1.00000000
orz200d,1275,3323,668,0.41705660,0.50139623,2.99856604,3.91701887,180.78679245,15.29433962,222.70754717,583661,2.84152985,9.46258259,0.01267624,0.26908970,12.58587837,1.00000000
orz201d,136,299,60,0.18066667,0.29440000,0.66933333,1.14440000,30.06666667,3.28666667,14.49333333,10777,0.08498383,0.17472172,0.00114059,0.01955986,0.28040600,1.00000000
orz203d,36,95,19,0.17425000,0.17975000,0.06050000,0.41450000,2.43750000,0.48750000,0.22500000,1181,0.01395416,0.01914692,0.00036240,0.00531101,0.03877449,1.00000000
orz300d,6031,16768,3373,0.83017196,1.26469577,9.60375661,11.69862434,590.84126984,38.40277778,1069.67791005,7408911,25.90005112,120.11669827,0.06396484,1.49968147,147.58039570,1.00000000
orz301d,836,2247,451,0.20627907,0.38776744,1.59967442,2.19372093,59.33720930,11.18139535,72.96511628,188526,1.12689972,3.05647087,0.00857162,0.17149258,4.36343479,1.00000000
orz302d,444,1120,225,0.26369231,0.38330769,1.42523077,2.07223077,68.36538462,8.37500000,34.17692308,68518,0.48389816,1.11084557,0.00427246,0.08400249,1.68301868,1.00000000
orz303d,1964,4918,989,0.32309565,0.56573913,2.71434783,3.60318261,137.34869565,11.01391304,189.40347826,850644,4.20906448,13.79103470,0.01876068,0.40524292,18.42410278,1.00000000
orz304d,464,1242,251,0.23609524,0.47704762,2.42076190,3.13390476,100.03095238,14.03333333,59.00476190,97275,0.64360428,1.57706738,0.00473785,0.09399891,2.31940842,1.00000000
orz500d,1263,3280,667,0.40317972,0.55453917,4.36912442,5.32684332,268.14285714,23.04838710,334.95506912,694558,3.16817856,11.26049614,0.01251221,0.26704407,14.70823097,1.00000000
orz601d,292,704,141,0.28484615,0.37892308,1.63730769,2.30107692,65.04615385,9.16923077,70.79230769,31690,0.26081467,0.51377296,0.00268555,0.04712677,0.82439995,1.00000000
orz701d,4289,12367,2476,0.59157115,0.77897618,5.22291050,6.59345782,318.13200258,28.08531874,291.12137798,3869754,14.15297699,62.73824501,0.04717636,1.09232807,78.03072643,1.00000000
orz702d,5831,16453,3295,0.63236638,0.99851987,6.64202832,8.27291457,422.46094107,29.84856099,334.57697579,10815553,31.57434082,175.34675694,0.06276321,1.51084995,208.49471092,1.00000000
orz703d,3722,9888,2183,0.45281110,0.81606983,6.94999105,8.21887198,419.30841540,39.19024172,486.26275739,4119635,13.02576828,66.78943157,0.03771973,0.81052780,80.66344738,1.00000000
orz704d,154,394,79,0.28370000,0.31830000,0.74660000,1.34860000,26.85000000,5.15500000,79.24000000,38532,0.24725723,0.62469864,0.00150299,0.02725029,0.90070915,1.00000000
orz800d,2404,6442,1290,0.40192738,0.57143325,3.04674311,4.02010374,186.18564019,21.90717991,218.14851215,828839,4.20369339,13.43752193,0.02457428,0.52727985,18.19306946,1.00000000
orz900d,7867,21934,4402,0.58421383,1.05381611,3.37856878,5.01659872,116.25217391,17.42506058,74.66357805,4738841,21.22186661,76.82828617,0.08367157,2.00100136,100.13482571,1.00000000
orz901d,3876,10816,2167,0.51467903,0.74575369,3.35751783,4.61795055,163.69044223,18.73704232,42.31359962,2838519,11.75384140,46.01938534,0.04125977,0.93954945,58.75403595,1.00000000
orz999d,1831,4827,973,0.38156301,0.57139935,3.14120295,4.09416530,221.25040917,16.95376432,94.47954173,959254,4.01929474,15.55187035,0.01841354,0.37966442,19.96924305,1.00000000
ost000a,10161,27869,5604,0.80799043,1.58712121,10.68181818,13.07692982,617.54904306,32.45693780,1440.56339713,23540102,68.83444214,381.64304161,0.10631180,2.67837048,453.26216602,1.00000000
ost000t,7797,21438,4311,0.81466667,1.55949020,11.70767843,14.08183529,711.18901961,40.07019608,1219.94509804,18155368,54.60579300,294.34323883,0.08177948,2.04757023,351.07838154,1.00000000
ost001d,1551,4223,848,0.45327273,0.64815152,4.06093939,5.16236364,254.41363636,23.07272727,256.79090909,931684,4.33222198,15.10489273,0.01610947,0.34463120,19.79785538,1.00000000
