Map,NumVertices,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,TotalSpaceMB
lak507d,300,157,0.29200000,0.25518182,0.28127273,0.82845455,3.67272727,0.80454545,18.20909091,387972,4.00236130,6.28998184,10.29234314
lak510d,434,231,0.26059091,0.27177273,0.74450000,1.27686364,15.86590909,1.56136364,46.42954545,1146639,10.39031219,18.58984280,28.98015499
lak511d,2480,1381,0.38870748,0.37790087,0.60756074,1.37416910,8.77551020,0.83381924,8.94460641,3689726,29.72287750,59.81954765,89.54242516
lak512d,2003,1036,0.40503759,0.36486842,0.76669173,1.53659774,11.37593985,1.12265038,5.14144737,3208749,28.74237442,52.02172565,80.76410007
lak513d,3982,2193,0.47796235,0.51202658,1.39523810,2.38522702,15.85492802,1.67774086,44.38648948,7437155,57.95524597,120.57460308,178.52984905
lak514d,2121,1191,0.38403941,0.35665025,0.48605911,1.22674877,7.80541872,1.01477833,7.35467980,1865820,17.20326996,30.24953842,47.45280838
lak515d,200,109,0.47147368,0.23294737,0.22863158,0.93305263,7.37894737,1.32631579,29.55789474,281965,2.24876022,4.57134724,6.82010746
lak519d,1187,687,0.44032129,0.35530120,1.09144578,1.88706827,19.40160643,2.25502008,73.89357430,3950213,30.46267319,64.04268360,94.50535679
lak526d,212,120,0.27009091,0.22027273,0.53800000,1.02836364,14.59545455,4.03181818,15.52272727,100461,0.89556503,1.62872028,2.52428532
lgt101d,128,71,0.21307692,0.20323077,0.42000000,0.83630769,11.70000000,1.87692308,14.43846154,41518,0.31113815,0.67310905,0.98424721
lgt300d,2549,1439,0.56199446,0.41167867,2.02500831,2.99868144,26.35567867,1.96121884,99.55346260,17278039,130.10946655,280.11957455,410.22904110
lgt600d,1110,655,0.40852492,0.33239064,0.76046796,1.50138352,15.20142421,0.92777213,32.23804680,6166661,45.93352509,99.97676563,145.91029072
lgt601d,1478,856,0.52096296,0.36758025,0.98185185,1.87039506,12.75432099,1.19012346,69.74320988,8667110,66.82670212,140.51520348,207.34190559
lgt602d,2548,1476,0.42022222,0.40701010,0.88709091,1.71432323,12.77575758,1.44747475,19.52626263,7200471,50.86667252,116.73737240,167.60404491
lgt603d,2177,1247,0.37762097,0.39688172,0.86111559,1.63561828,10.94892473,1.33400538,9.40456989,4674599,35.03909683,75.78676510,110.82586193
lgt604d,1024,603,0.46534078,0.34420112,0.88873743,1.69827933,16.40000000,2.61340782,55.23798883,2910482,18.17632675,47.18608284,65.36240959
lgt605d,230,136,0.38140741,0.25088889,0.36585185,0.99814815,9.83703704,1.58148148,21.31111111,310348,2.75524139,5.03150558,7.78674698
orz000d,252,111,0.17232804,0.24603175,0.43465608,0.85301587,9.43915344,1.13227513,14.31746032,297479,2.79828644,4.82286739,7.62115383
orz100d,6719,3778,0.60709384,0.54337329,1.66653989,2.81700703,13.17610583,1.28234808,35.59115337,33598442,231.51189804,544.71351051,776.22540855
orz101d,200,105,0.42095652,0.33173913,0.65652174,1.40921739,12.33913043,2.31304348,10.22608696,104444,0.94852829,1.69329453,2.64182281
orz102d,84,38,0.22784615,0.18246154,0.22230769,0.63261538,4.10000000,0.88461538,5.73076923,31406,0.32269669,0.50916862,0.83186531
orz103d,4913,2670,0.34951896,0.43692543,0.74553830,1.53198269,7.28938661,1.05115806,3.31662001,5049262,39.42211533,81.86097527,121.28309059
orz105d,110,56,0.15533333,0.19293333,0.40026667,0.74853333,9.10000000,2.84000000,8.40666667,36934,0.36790085,0.59879112,0.96669197
orz106d,60,28,0.26750000,0.16800000,0.23825000,0.67375000,7.16250000,1.87500000,9.76250000,17746,0.15402222,0.28770638,0.44172859
orz107d,82,40,0.21250000,0.24400000,0.09983333,0.55633333,1.84166667,0.31666667,2.23333333,20274,0.22303391,0.32869148,0.55172539
orz200d,1275,668,0.36388679,0.32249057,0.72026415,1.40664151,11.92452830,1.88679245,27.67169811,1226652,8.86272812,19.88705063,28.74977875
orz201d,136,60,0.14440000,0.21493333,0.24520000,0.60453333,5.69333333,0.84666667,3.38000000,37423,0.34632111,0.60671902,0.95304012
orz203d,36,19,0.17750000,0.16375000,0.04825000,0.38950000,1.43750000,0.41250000,0.00000000,5200,0.06060791,0.08430481,0.14491272
orz300d,6031,3373,0.62444444,0.54543651,1.62158730,2.79146825,16.14616402,1.81150794,51.76190476,27920775,177.12735367,452.66454220,629.79189587
orz301d,836,451,0.17953488,0.25432558,0.45683721,0.89069767,9.24883721,1.42325581,10.53953488,502742,3.74396896,8.15068626,11.89465523
orz302d,444,225,0.23346154,0.27284615,0.37630769,0.88261538,7.17307692,0.94230769,4.82692308,324607,3.24922562,5.26267910,8.51190472
orz303d,1964,989,0.24666087,0.32845217,0.74333913,1.31845217,11.64086957,0.88086957,16.49739130,3390244,25.64143753,54.96420670,80.60564423
orz304d,464,251,0.37585714,0.55342857,0.77409524,1.70338095,8.40714286,1.15000000,10.12619048,412335,3.79267883,6.68496609,10.47764492
orz500d,1263,667,0.35979263,0.35036866,0.66389401,1.37405530,8.95967742,0.96543779,23.77534562,2687261,23.03702164,43.56712055,66.60414219
orz601d,292,141,0.21007692,0.22853846,0.40423077,0.84284615,9.20384615,1.61538462,13.76538462,130800,1.12821960,2.12059021,3.24880981
orz700d,7295,4166,0.50327254,0.52734237,1.47702449,2.50763940,16.48045857,1.22537780,25.64252215,30058351,208.64681625,487.31991482,695.96673107
orz701d,4289,2476,0.54631681,0.47014166,1.22126851,2.23772698,14.12073406,1.50418545,21.08338699,10826222,76.24791336,175.51972771,251.76764107
orz702d,5831,3295,0.51988122,0.49213796,1.51530379,2.52732298,17.21128369,1.35998173,22.46984925,29171292,187.03882217,472.93850327,659.97732544
orz703d,3722,2183,0.35610564,0.45477171,1.19277529,2.00365264,12.92837959,0.96418979,22.39256938,16743333,125.89011765,271.45067310,397.34079075
orz704d,154,79,0.21490000,0.19990000,0.25560000,0.67040000,4.77500000,1.16000000,19.73500000,156279,1.52103806,2.53366756,4.05470562
orz800d,2404,1290,0.35391209,0.34188916,0.62260988,1.31841114,7.86841387,0.61124761,12.76876877,6855122,60.09836960,111.13841438,171.23678398
orz900d,7867,4402,0.47142979,0.52384890,1.02513471,2.02041340,5.76607270,0.78717035,4.77890235,16762525,137.09717941,271.76182270,408.85900211
orz901d,3876,2167,0.45080361,0.44113172,0.93893010,1.83086543,8.94222539,1.17332382,3.93081312,8764555,66.70758438,142.09502697,208.80261135
orz999d,1831,973,0.36624386,0.40843699,0.88279869,1.65747954,9.66980360,0.82446809,8.14811784,6160708,54.51844406,99.88025284,154.39869690
ost000a,10161,5604,0.56606061,0.57259171,1.84515152,2.98380383,13.96092504,1.10087719,53.74082935,61927297,411.87033844,1003.99403477,1415.86437321
ost000t,7797,4311,0.57824314,0.53825098,1.84170980,2.95820392,15.17686275,1.16078431,51.59529412,48756827,337.31192017,790.46827221,1127.78019238
ost001d,1551,848,0.42263636,0.41893939,0.88709091,1.72866667,16.18484848,1.76666667,18.58636364,2270307,15.76154709,36.80726910,52.56881618
ost002d,1492,805,0.36254839,0.34203226,0.88112903,1.58570968,13.69677419,1.46451613,38.45483871,2995288,21.29495239,48.56099701,69.85594940
ost003d,1718,938,0.42737589,0.36106383,0.79796690,1.58640662,13.67730496,1.26595745,17.80023641,2426107,17.96572495,39.33317089,57.29889584
ost004d,343,184,0.34890909,0.26727273,0.35718182,0.97336364,4.46363636,0.81818182,33.40454545,709019,5.87771225,11.49494457,17.37265682
ost100d,8815,5069,0.53836545,0.55677373,2.78349750,3.87863669,22.99214847,1.53211991,120.01034975,117846516,743.50033188,1910.58232498,2654.08265686
ost101d,382,224,0.38786585,0.24560976,0.38402439,1.01750000,7.78048780,1.15548780,24.76219512,913320,13.36152267,14.80716705,28.16868973
ost102d,38,18,0.19257143,0.17285714,0.09771429,0.46314286,2.17142857,0.51428571,1.78571429,5249,0.06081772,0.08509922,0.14591694
oth000d,1503,870,0.39640884,0.36370166,0.95377901,1.71388950,16.32872928,1.75248619,31.40441989,4484923,29.48734665,72.71164989,102.19899654
oth001d,2170,1202,0.47923497,0.41797814,0.71683060,1.61404372,11.98907104,1.93169399,28.36338798,2680455,20.61117172,43.45677853,64.06795025
oth999d,6,2,0.06760000,0.12453333,0.00626667,0.19840000,0.02666667,0.01333333,0.00000000,2243,0.04021835,0.03636456,0.07658291
rmtst,409,215,0.24940426,0.24434043,0.48923404,0.98297872,8.98936170,1.21276596,12.04255319,422196,3.99116135,6.84483719,10.83599854
rmtst01,393,205,0.25774468,0.25612766,0.56463830,1.07851064,10.58723404,1.44893617,11.63617021,406947,3.89281845,6.59761333,10.49043179
rmtst03,413,213,0.37548936,0.39565957,0.78821277,1.55936170,11.07659574,1.48085106,11.37234043,415868,4.00059891,6.74224472,10.74284363
