Map,NumVertices,M-CdtRegions,VisTime,PointLocationTime,ViaLabelTime,TotalTime,ViaLabelsCheckedAvg,VisibleChecksAvg,ViaLabelsPrunedAvg,NumViaLabels,HubSpaceMB,ViaSpaceMB,TotalSpaceMB
AR0600SR,706,438,0.55909375,0.52770313,11.18614063,12.27293750,838.00937500,69.52265625,297.45781250,46827,0.04778671,0.75918102,0.80696774
AR0601SR,568,352,0.55101563,0.56285937,14.93945312,16.05332813,1171.22578125,87.21484375,408.31171875,31811,0.04003525,0.51573467,0.55576992
AR0602SR,5504,3240,1.02631250,1.74628125,36.44773437,39.22032812,2168.21484375,190.15000000,1032.35156250,201634,0.19080734,3.26898384,3.45979118
AR0603SR,2986,1718,0.86056250,1.28629687,28.57935938,30.72621875,1919.73671875,140.20781250,1222.15156250,146121,0.14196396,2.36898136,2.51094532
AR0604SR,500,313,0.51454687,0.61610937,7.24776562,8.37842187,347.05078125,44.61484375,201.99453125,28674,0.05672836,0.46487617,0.52160454
AR0605SR,278,168,0.40434568,0.45144033,4.38255144,5.23833745,193.00493827,28.36872428,208.59094650,23389,0.06624985,0.37919331,0.44544315
AR0700SR,7821,4697,1.30829688,2.43814063,102.02151563,105.76795313,8340.65390625,405.57421875,9539.55078125,791746,0.48241806,12.83615303,13.31857109
AR0701SR,2996,1796,0.99467187,1.38368750,49.93093750,52.30929688,4378.47656250,230.08125000,4402.97656250,359943,0.27195358,5.83556271,6.10751629
AR0702SR,680,386,0.41337171,0.48674342,14.25500000,15.15511513,1050.89638158,91.03536184,792.63651316,49903,0.07386398,0.80905056,0.88291454
AR0704SR,614,357,0.40503125,0.46634375,10.60696875,11.47834375,752.78203125,73.74062500,520.47421875,41600,0.06647873,0.67443848,0.74091721
AR0705SR,864,471,0.29981250,0.43228125,6.16354688,6.89564063,420.85703125,52.11484375,131.68593750,28462,0.05163193,0.46143913,0.51307106
AR0709SR,486,283,0.44099511,0.43907015,11.92960848,12.80967374,938.16150082,79.73001631,762.72756933,52584,0.08404160,0.85251617,0.93655777
AR0711SR,502,290,0.39339063,0.45118750,5.76054687,6.60512500,344.55000000,44.88828125,116.48671875,12877,0.02924728,0.20876789,0.23801517
